,1st ,2nd ,3rd 
FY-1992 ,,,
Oct.  ,C ,C ,C 
Nov. ,C ,1-Feb-90,C 
Dec. ,C ,1-Jul-90,C 
Jan. ,C ,15-Oct-90,C 
Feb. ,C ,15-Mar-91,C 
Mar. ,C ,C ,C 
Apr. ,C ,C ,C 
May ,C ,C ,C 
June ,C ,C ,C 
July ,C ,2-Mar-91,C 
Aug. ,C ,15-Jun-90,C 
Sept. ,C ,15-Jun-90,15-Jun-90
,1st ,2nd ,3rd 
FY-1993 ,,,
Oct.  ,C ,22-May-91,1-Apr-91
Nov. ,C ,1-Jun-91,1-Apr-91
Dec. ,C ,15-Aug-91,1-Jun-91
Jan. ,C ,22-Sep-91,1-Aug-91
Feb. ,C ,8-Dec-91,1-Sep-91
Mar. ,C ,22-Mar-92,1-Nov-91
Apr. ,C ,1-Aug-92,1-Mar-92
May ,C ,C ,15-Mar-92
June ,C ,C ,C 
July ,C ,C ,C 
Aug. ,C ,C ,C 
Sept. ,C ,C ,C 
,1st ,2nd ,3rd 
FY-1994 ,,,
Oct.  ,C ,C ,1-Jul-92
Nov. ,C ,C ,8-Sep-92
Dec. ,C ,C ,15-Jan-93
Jan. ,C ,C ,1-Mar-93
Feb. ,C ,C ,22-Jun-93
Mar. ,C ,C ,C 
Apr. ,C ,C ,C 
May ,C ,C ,C 
June ,C ,C ,C 
July ,C ,C ,C 
Aug. ,C ,C ,C 
Sept. ,C ,C ,C 
,1st ,2nd ,3rd 
FY-1995 ,,,
Oct.  ,C ,C ,C 
Nov. ,C ,C ,C 
Dec. ,C ,C ,C 
Jan. ,C ,C ,C 
Feb. ,C ,C ,C 
Mar. ,C ,C ,C 
Apr. ,C ,C ,C 
May ,C ,C ,C 
June ,C ,C ,C 
July ,C ,C ,C 
Aug. ,C ,C ,C 
Sept. ,C ,C ,C 
,1st ,2nd ,3rd 
FY-1996 ,,,
Oct.  ,C ,C ,C 
Nov. ,C ,C ,C 
Dec. ,C ,C ,C 
Jan. ,C ,C ,C 
Feb. ,C ,C ,C 
Mar. ,C ,C ,C 
Apr. ,C ,C ,C 
May ,C ,C ,C 
June ,C ,C ,U 
July ,C ,U ,U 
Aug. ,C ,U ,U 
Sept. ,U ,U ,U 
,1st ,2nd ,3rd 
FY-1997 ,,,
Oct.  ,C ,1-Aug-94,8-Jan-94
Nov. ,C ,22-Nov-94,1-Feb-94
Dec. ,C ,8-May-95,15-Mar-94
Jan. ,C ,22-Jul-95,1-Jul-94
Feb. ,C ,1-Nov-95,1-Sep-94
Mar. ,C ,22-Mar-96,15-Nov-94
Apr. ,C ,C ,1-Feb-95
May ,C ,C ,1-Apr-95
June ,C ,C ,15-Jun-95
July ,C ,C ,15-Jun-95
Aug. ,C ,C ,1-Aug-95
Sept. ,C ,C ,8-Dec-95
,1st ,2nd ,3rd 
FY-1998 ,,,
Oct.  ,C ,1-Dec-95,8-Dec-95
Nov. ,C ,1-Dec-95,15-Dec-94
Dec. ,C ,1-Dec-95,15-Dec-94
Jan. ,C ,1-May-96,8-Feb-95
Feb. ,C ,1-Jun-96,1-Apr-95
Mar. ,C ,22-Jun-96,8-May-95
Apr. ,C ,8-Aug-96,8-May-95
May ,C ,15-Aug-96,8-May-95
June ,C ,22-Aug-96,15-Jun-95
July ,C ,1-Nov-96,1-Aug-95
Aug. ,C ,1-Feb-97,1-Dec-95
Sept. ,C ,1-May-97,1-Dec-95
,1st ,2nd ,3rd 
FY-1999 ,,,
Oct.  ,C ,22-May-97,22-Dec-95
Nov. ,C ,8-Jun-97,1-Jan-96
Dec. ,C ,1-Jul-97,8-Jan-96
Jan. ,C ,22-Jul-97,15-Jan-96
