Job_title,Percentage of employees got certified
COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,99.62432495891053
MICROSOFT CORPORATION,99.78997899789978
INTEL CORPORATION,95.48133595284872
GOOGLE INC.,99.59908361970218
AMAZON CORPORATE LLC,99.56521739130434
INFOSYS LTD.,99.37722419928826
APPLE INC.,99.2992992992993
"CISCO SYSTEMS, INC.",99.00110987791344
WIPRO LIMITED,100.0
"ORACLE AMERICA, INC.",98.00531914893617
YAHOO! INC.,98.75346260387812
"FACEBOOK, INC.",98.89349930843707
"HOUSE OF RAEFORD FARMS, INC.",94.24342105263158
DELOITTE CONSULTING LLP,99.70282317979198
HCL AMERICA INC.,100.0
"IGATE TECHNOLOGIES, INC.",100.0
"Defender Services, Inc.",98.70967741935483
JP MORGAN CHASE & CO,96.24724061810154
"ABBYLAND FOODS, INC",90.96045197740112
WAYNE FARMS LLC,86.75324675324674
SALESFORCE.COM,98.76543209876543
"NORMAN W. FRIES, INC. D/B/A CLAXTON POULTRY FARMS",72.75280898876404
CAPGEMINI FINANCIAL SERVICES USA INC.,99.72067039106145
ERNST & YOUNG U.S. LLP,99.42857142857143
CASE FARMS PROCESSING INC.,89.39929328621908
LINKEDIN CORPORATION,99.39577039274926
"MUY PIZZA HOUSTON, LLC",89.96865203761756
CUMMINS INC.,99.35897435897436
"VMWARE, INC.",99.66996699669967
"GEORGE'S CHICKEN, LLC.",90.7079646017699
DELOITTE & TOUCHE LLP,99.6551724137931
"RANDSTAD TECHNOLOGIES, LP",99.64285714285714
BROADCOM CORPORATION,94.98207885304659
BLOOMBERG L.P.,100.0
EMC CORPORATION,99.23371647509579
IBM CORPORATION,95.80152671755725
ERICSSON INC.,97.265625
"TECH MAHINDRA (AMERICAS) INC., (FORMERLY MBT INTERNATIONAL, INC.)",99.19354838709677
SYMANTEC CORPORATION,100.0
CERNER CORPORATION,96.28099173553719
"PAYPAL, INC.",99.58677685950413
KFORCE INC.,100.0
NVIDIA CORPORATION,100.0
"MUY HAMBURGER PARTNERS, LLC",100.0
"George's Processing, Inc.",92.98245614035088
"MASTECH, INC., A MASTECH HOLDINGS, INC. COMPANY",99.1304347826087
MUY PIZZA SOUTHEAST LLC,93.83259911894272
"CAPITAL ONE SERVICES, LLC",99.09909909909909
KOCH FOODS OF CINCINNATI LLC,93.87755102040816
"HOUSE OF RAEFORD FARMS, INC",14.832535885167463
EBAY INC.,99.52606635071089
"COMPUNNEL SOFTWARE GROUP, INC.",95.52238805970148
INTUIT,100.0
"WAL-MART ASSOCIATES, INC.",98.12206572769952
EPIC SYSTEMS CORPORATION,100.0
PRICEWATERHOUSECOOPERS,98.35164835164835
BANK OF AMERICA,98.9010989010989
HARRISON POULTRY,81.92090395480226
"V-SOFT CONSULTING GROUP, INC.",99.43502824858757
"INTEL MOBILE COMMUNICATIONS, INC.",98.87005649717514
LARSEN & TOUBRO INFOTECH LIMITED,98.30508474576271
FMR LLC,98.88888888888889
"A2Z DEVELOPMENT CENTER, INC.",99.41520467836257
"VERIZON COMMUNICATIONS INC., & ALL ITS SUBSIDIARIES & AFFILIATES",99.40828402366864
ADOBE SYSTEMS INCORPORATED,99.40476190476191
"NTT DATA, INC",99.38271604938271
TEXAS INSTRUMENTS INCORPORATED,98.76543209876543
"THE MATHWORKS, INC.",100.0
UBER TECHNOLOGIES INC.,100.0
"EPAM SYSTEMS, INC",96.83544303797468
HEWLETT-PACKARD COMPANY,91.33333333333333
"NETAPP, INC.",99.33774834437085
"MOUNTAIRE FARMS OF DELAWARE, INC",87.17948717948718
"ALCATEL LUCENT USA, INC.",98.67549668874173
SANDISK CORPORATION,99.31506849315068
TESLA MOTORSINC,97.93103448275862
ACCENTURE LLP,99.28571428571429
MPHASIS CORPORATION,98.6013986013986
AMERICAN EXPRESS TRAVEL RELATED SERVICES,99.29078014184397
GOLDMAN SACHS & CO.,99.27536231884058
"FUJITSU AMERICA, INC.",99.25373134328358
"MICRON TECHNOLOGY, INC.",96.94656488549617
"PACPIZZA,LLC",100.0
PricewaterhouseCoopers Advisory Services LLC,100.0
CGI TECHNOLOGIES AND SOLUTIONS INC.,99.25925925925925
"MCKINSEY & COMPANY, INC UNITED STATES",97.70992366412213
"POPULUS GROUP, LLC",100.0
MUY PIZZA TEJAS LLC,100.0
CAPGEMINI U.S. LLC,96.06299212598425
"HTC GLOBAL SERVICES, INC.",99.2
"TWITTER, INC.",98.36065573770492
QUALCOMM TECHNOLOGIES INC.,99.16666666666667
INOVANT LLC,98.30508474576271
"KOCH FOODS OF CUMMING, LLC",100.0
AMDOCS INC.,100.0
"NESS USA, INC.",100.0
"SYNOPSYS, INC.",100.0
RELIABLE SOFTWARE RESOURCES INC,100.0
"GROUPON, INC.",100.0
