State,new_foreign_worker_count,Percentage of workers got certified
CA,29562,96.40582347588716
TX,16672,96.59893445669681
NJ,9857,96.06959438214024
NY,9219,94.73271321304495
WA,6709,98.67378048780488
IL,4819,95.23195876288659
GA,4351,92.67701260911736
VA,4242,94.39299123904881
MA,4217,97.09614446071254
FL,4013,93.24324324324324
MI,3760,96.63842579939875
NC,3379,93.8204055358867
PA,2831,95.86656997824511
OH,2100,96.6033966033966
MD,1645,92.29805886036318
AZ,1392,92.94205052005944
WI,1376,94.61172741679873
OR,1359,94.96951219512195
SC,1203,78.68544600938966
CT,1175,94.90616621983914
MO,1090,95.65637065637065
IN,1005,97.0317297850563
CO,969,93.08510638297872
MN,921,96.11542730299666
TN,741,91.23783031988873
DE,609,94.11764705882352
AL,598,91.70984455958549
AR,562,93.86792452830188
KY,554,97.5925925925926
IA,490,94.6058091286307
DC,482,93.01310043668121
UT,438,90.26128266033254
NE,409,93.47258485639686
KS,401,94.35897435897435
LA,388,88.53333333333333
OK,331,92.1875
NM,277,87.40458015267176
NH,255,97.97570850202429
NV,231,91.44144144144144
RI,192,95.26315789473684
MS,175,86.98224852071006
ID,145,93.33333333333333
ND,138,91.97080291970804
GU,129,97.52066115702479
ME,104,94.89795918367348
VT,103,96.0
WV,101,94.0
HI,89,83.72093023255815
PR,75,79.16666666666666
MT,67,82.8125
SD,66,95.3125
AK,41,92.3076923076923
WY,28,96.42857142857143
MP,16,62.5
VI,7,57.14285714285714
MH,1,100.0
