Company,new_foreign_worker_count
GOOGLE INC.,1473
APPLE INC.,971
INTEL CORPORATION,846
YAHOO! INC.,709
"CISCO SYSTEMS, INC.",705
"FACEBOOK, INC.",606
"ORACLE AMERICA, INC.",581
SALESFORCE.COM,351
LINKEDIN CORPORATION,337
"VMWARE, INC.",274
BROADCOM CORPORATION,254
SYMANTEC CORPORATION,233
"PAYPAL, INC.",228
NVIDIA CORPORATION,217
INTUIT,199
MICROSOFT CORPORATION,184
EBAY INC.,177
"A2Z DEVELOPMENT CENTER, INC.",174
"WAL-MART ASSOCIATES, INC.",168
UBER TECHNOLOGIES INC.,156
TESLA MOTORSINC,148
SANDISK CORPORATION,142
"PACPIZZA,LLC",136
"INTEL MOBILE COMMUNICATIONS, INC.",120
ADOBE SYSTEMS INCORPORATED,113
"TWITTER, INC.",112
HCL AMERICA INC.,111
DELOITTE CONSULTING LLP,109
JUNIPER NETWORKS,105
