id,value
factors,
factors.marriage,
factors.marriage.marriage,3000
factors.marriage.parenthood,900
factors.marriage.oppose,900
factors.marriage.benefit,900
factors.marriage.mandatory,900
factors.marriage.goodbye,900
factors.maternity,
factors.maternity.maternity,3000
factors.maternity.harass,900
factors.maternity.workplace,900
factors.maternity.issue,900
factors.maternity.lack,900
factors.maternity.inspire,900
factors.conservatism,
factors.conservatism.conservatism,3000
factors.conservatism.home,900
factors.conservatism.republican,900
factors.conservatism.family,900
factors.conservatism.culture,900
factors.conservatism.conserve,900
