id,value
impact,
impact.PositiveChange,
impact.PositiveChange.PositiveChange,3000
impact.PositiveChange.wagegap,900
impact.PositiveChange.progress,900
impact.PositiveChange.recruit,900
impact.PositiveChange.rule,900
impact.PositiveChange.break,900
impact.AcrossGeography,
impact.AcrossGeography.AcrossGeography,3000
impact.AcrossGeography.victory,900
impact.AcrossGeography.author,900
impact.AcrossGeography.Hollywood,900
impact.AcrossGeography.California,900
impact.AcrossGeography.Massachussetts,900
impact.GoodforNation,
impact.GoodforNation.GoodforNation,3000
impact.GoodforNation.potential,900
impact.GoodforNation.economic,900
impact.GoodforNation.agreement,900
impact.GoodforNation.discuss,900
impact.GoodforNation.compromise,900
