StateCode,DistrictCode,Area Name,Age,OutOfSchoolChildren
35,638,District-Nicobars,5,375
35,638,District-Nicobars,6,245
35,638,District-Nicobars,7,72
35,638,District-Nicobars,8,35
35,638,District-Nicobars,9,38
35,638,District-Nicobars,10,39
35,638,District-Nicobars,11,49
35,638,District-Nicobars,12,34
35,638,District-Nicobars,13,43
35,638,District-Nicobars,14,63
35,638,District-Nicobars,15,87
35,638,District-Nicobars,16,97
35,638,District-Nicobars,17,168
35,638,District-Nicobars,18,279
35,638,District-Nicobars,19,330
35,639,District-North  & Middle Andaman,5,1155
35,639,District-North  & Middle Andaman,6,742
35,639,District-North  & Middle Andaman,7,201
35,639,District-North  & Middle Andaman,8,66
35,639,District-North  & Middle Andaman,9,84
35,639,District-North  & Middle Andaman,10,96
35,639,District-North  & Middle Andaman,11,104
35,639,District-North  & Middle Andaman,12,90
35,639,District-North  & Middle Andaman,13,96
35,639,District-North  & Middle Andaman,14,174
35,639,District-North  & Middle Andaman,15,261
35,639,District-North  & Middle Andaman,16,366
35,639,District-North  & Middle Andaman,17,542
35,639,District-North  & Middle Andaman,18,920
35,639,District-North  & Middle Andaman,19,1081
35,640,District-South Andaman,5,1947
35,640,District-South Andaman,6,1316
35,640,District-South Andaman,7,277
35,640,District-South Andaman,8,102
35,640,District-South Andaman,9,123
35,640,District-South Andaman,10,147
35,640,District-South Andaman,11,118
35,640,District-South Andaman,12,150
35,640,District-South Andaman,13,160
35,640,District-South Andaman,14,222
35,640,District-South Andaman,15,394
35,640,District-South Andaman,16,503
35,640,District-South Andaman,17,821
35,640,District-South Andaman,18,1574
35,640,District-South Andaman,19,1939
28,532,District-Adilabad,5,29854
28,532,District-Adilabad,6,19316
28,532,District-Adilabad,7,8528
28,532,District-Adilabad,8,5041
28,532,District-Adilabad,9,4431
28,532,District-Adilabad,10,6483
28,532,District-Adilabad,11,5577
28,532,District-Adilabad,12,7977
28,532,District-Adilabad,13,7808
28,532,District-Adilabad,14,11298
28,532,District-Adilabad,15,16169
28,532,District-Adilabad,16,18211
28,532,District-Adilabad,17,18530
28,532,District-Adilabad,18,30849
28,532,District-Adilabad,19,25755
28,533,District-Nizamabad,5,25968
28,533,District-Nizamabad,6,17786
28,533,District-Nizamabad,7,7150
28,533,District-Nizamabad,8,4307
28,533,District-Nizamabad,9,3157
28,533,District-Nizamabad,10,4635
28,533,District-Nizamabad,11,3653
28,533,District-Nizamabad,12,5187
28,533,District-Nizamabad,13,5064
28,533,District-Nizamabad,14,7084
28,533,District-Nizamabad,15,10696
28,533,District-Nizamabad,16,12086
28,533,District-Nizamabad,17,13559
28,533,District-Nizamabad,18,25489
28,533,District-Nizamabad,19,21900
28,534,District-Karimnagar,5,28478
28,534,District-Karimnagar,6,19566
28,534,District-Karimnagar,7,6491
28,534,District-Karimnagar,8,3042
28,534,District-Karimnagar,9,2383
28,534,District-Karimnagar,10,3157
28,534,District-Karimnagar,11,2679
28,534,District-Karimnagar,12,3412
28,534,District-Karimnagar,13,3597
28,534,District-Karimnagar,14,5225
28,534,District-Karimnagar,15,9154
28,534,District-Karimnagar,16,12580
28,534,District-Karimnagar,17,16031
28,534,District-Karimnagar,18,30688
28,534,District-Karimnagar,19,29303
28,535,District-Medak,5,32901
28,535,District-Medak,6,21864
28,535,District-Medak,7,8163
28,535,District-Medak,8,4830
28,535,District-Medak,9,3587
28,535,District-Medak,10,5045
28,535,District-Medak,11,3795
28,535,District-Medak,12,5996
28,535,District-Medak,13,5407
28,535,District-Medak,14,8133
28,535,District-Medak,15,12918
28,535,District-Medak,16,15764
28,535,District-Medak,17,16737
28,535,District-Medak,18,35122
28,535,District-Medak,19,28016
28,536,District-Hyderabad,5,27831
28,536,District-Hyderabad,6,21437
28,536,District-Hyderabad,7,11218
28,536,District-Hyderabad,8,9395
28,536,District-Hyderabad,9,8940
28,536,District-Hyderabad,10,11095
28,536,District-Hyderabad,11,9787
28,536,District-Hyderabad,12,10524
28,536,District-Hyderabad,13,9438
28,536,District-Hyderabad,14,12327
28,536,District-Hyderabad,15,14372
28,536,District-Hyderabad,16,16426
28,536,District-Hyderabad,17,18489
28,536,District-Hyderabad,18,26832
28,536,District-Hyderabad,19,29537
28,537,District-Rangareddy,5,48634
28,537,District-Rangareddy,6,35178
28,537,District-Rangareddy,7,15468
28,537,District-Rangareddy,8,9602
28,537,District-Rangareddy,9,8357
28,537,District-Rangareddy,10,10742
28,537,District-Rangareddy,11,9336
28,537,District-Rangareddy,12,10104
28,537,District-Rangareddy,13,10115
28,537,District-Rangareddy,14,12595
28,537,District-Rangareddy,15,17925
28,537,District-Rangareddy,16,20608
28,537,District-Rangareddy,17,25314
28,537,District-Rangareddy,18,41854
28,537,District-Rangareddy,19,42485
28,538,District-Mahbubnagar,5,55633
28,538,District-Mahbubnagar,6,38060
28,538,District-Mahbubnagar,7,17529
28,538,District-Mahbubnagar,8,11954
28,538,District-Mahbubnagar,9,9238
28,538,District-Mahbubnagar,10,13247
28,538,District-Mahbubnagar,11,9926
28,538,District-Mahbubnagar,12,15653
28,538,District-Mahbubnagar,13,13584
28,538,District-Mahbubnagar,14,17688
28,538,District-Mahbubnagar,15,24398
28,538,District-Mahbubnagar,16,26852
28,538,District-Mahbubnagar,17,25629
28,538,District-Mahbubnagar,18,51757
28,538,District-Mahbubnagar,19,38984
28,539,District-Nalgonda,5,35960
28,539,District-Nalgonda,6,23609
28,539,District-Nalgonda,7,8077
28,539,District-Nalgonda,8,4108
28,539,District-Nalgonda,9,2966
28,539,District-Nalgonda,10,4206
28,539,District-Nalgonda,11,3336
28,539,District-Nalgonda,12,5037
28,539,District-Nalgonda,13,5390
28,539,District-Nalgonda,14,7331
28,539,District-Nalgonda,15,12132
28,539,District-Nalgonda,16,14979
28,539,District-Nalgonda,17,17453
28,539,District-Nalgonda,18,36939
28,539,District-Nalgonda,19,31020
28,540,District-Warangal,5,32420
28,540,District-Warangal,6,21265
28,540,District-Warangal,7,6991
28,540,District-Warangal,8,3667
28,540,District-Warangal,9,2620
28,540,District-Warangal,10,3777
28,540,District-Warangal,11,2898
28,540,District-Warangal,12,4151
28,540,District-Warangal,13,4256
28,540,District-Warangal,14,5789
28,540,District-Warangal,15,9195
28,540,District-Warangal,16,11468
28,540,District-Warangal,17,13693
28,540,District-Warangal,18,28772
28,540,District-Warangal,19,25214
28,541,District-Khammam,5,28958
28,541,District-Khammam,6,19851
28,541,District-Khammam,7,7337
28,541,District-Khammam,8,3715
28,541,District-Khammam,9,2844
28,541,District-Khammam,10,4248
28,541,District-Khammam,11,3375
28,541,District-Khammam,12,5256
28,541,District-Khammam,13,5899
28,541,District-Khammam,14,8316
