,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,Analysis: Donald Trump's presidency has veered onto a road with no centerlines or... http://ln.is/r6Unv  by #slebid8 via @c0nvey,2017-03-05 15:25:52,0,0,838531035432366080,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",0.04325,0.123722222222
1,1,1,1,"Cool!! Can Facebook, get together with Twitter, and see if we can combat the fake ass news, emanating from Donald Trump as well? #resisthttps://twitter.com/thehill/status/838519756701511681 …",2017-03-05 15:09:05,0,0,838526812619698177,"{'neg': 0.291, 'neu': 0.576, 'pos': 0.133, 'compound': -0.7339}",0.04325,0.123722222222
2,2,2,2,Donald Trump Refuses to Back Down On Muslim Ban As He Claims ‘Islam is Destroying Europe’ http://NewsUnitedStates.co.vu/1q1 pic.twitter.com/ZngrAsuLad,2017-03-05 15:06:20,0,0,838526117682233344,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.802}",0.04325,0.123722222222
3,3,3,3,Barbra Streisand: ‘Donald Trump is Making Me Gain Weight’ http://NewsUnitedStates.co.vu/1pi pic.twitter.com/VfbGgBjvXF,2017-03-05 14:33:21,0,0,838517817993392128,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.5267}",0.04325,0.123722222222
4,4,4,4,‘No one knows what Donald Trump was talking about’: FBI and law enforcement baffled by ‘wiretap’ claims http://www.rawstory.com/2017/03/no-one-knows-what-donald-trump-was-talking-about-fbi-and-agencies-baffled-by-wiretap-claims/ …,2017-03-05 13:55:52,1,3,838508386064945153,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",0.04325,0.123722222222
5,5,5,5,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://NewsUnitedStates.co.vu/1p9 pic.twitter.com/GoPYumyj0Q,2017-03-05 13:02:15,4,5,838494893060173824,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.9304}",0.04325,0.123722222222
6,6,6,6,Actor Don Cheadle Says that Donald Trump Referred to Black Women as N***ers http://m.dailykos.com/stories/1640286 ,2017-03-05 12:48:37,0,1,838491460509044738,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
7,7,7,7,What to Make of Donald Trump’s Early-Morning Wiretap Tweets http://www.newyorker.com/news/news-desk/what-to-make-of-donald-trumps-early-morning-wiretap-tweets … via @newyorker,2017-03-05 12:29:25,0,0,838486628964438016,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
8,8,8,8,Matthew Dowd: 'Donald Trump is never going to change' https://www.yahoo.com/news/video/matthew-dowd-donald-trump-never-172638311.html?soc_src=social-sh&soc_trk=tw … via @YahooNews,2017-03-05 12:13:31,0,0,838482630240788480,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
9,9,9,9,"Donald Trump PERSONALLY Exposes What OBAMA Told Russia. Holy Cow, This is TREASON. http://NewsUnitedStates.co.vu/1of pic.twitter.com/KbVPBFxXG8",2017-03-05 11:37:07,3,0,838473469230604288,"{'neg': 0.3, 'neu': 0.7, 'pos': 0.0, 'compound': -0.6289}",0.04325,0.123722222222
10,10,10,10,Donald Trump needs to stop changing the focus of him as a Moron to others. We not blind to you or your agenda.,2017-03-05 10:33:46,1,1,838457524802187264,"{'neg': 0.203, 'neu': 0.713, 'pos': 0.085, 'compound': -0.484}",0.04325,0.123722222222
11,11,11,11,'House Of Cards' Creator Asks Twitter To Remove Donald Trump's Account http://NewsUnitedStates.co.vu/1o1 pic.twitter.com/1riaffa5SQ,2017-03-05 09:48:09,1,0,838446045558272000,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
12,12,12,12,Mark Levin PROVES Obama Wiretapping on President Donald Trump https://youtu.be/91fNfGjZdM0  via @YouTube,2017-03-05 09:39:26,0,0,838443851505360901,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
13,13,13,13,Ex President Barack Obama in hot water after caught wiretapping President Donald Trump https://youtu.be/2vGUoekAc0s  via @YouTube,2017-03-05 09:37:34,0,0,838443381315493889,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
14,14,14,14,"**Donald Trump Gods Choice?** Watch! Mark Taylor Explain Gods Prophecy in Detail Here!   
https://www.youtube.com/watch?v=NelXpmqAp78 …",2017-03-05 09:30:27,0,0,838441591132078082,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
15,15,15,15,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://NewsUnitedStates.co.vu/1no pic.twitter.com/HUPwIu54KC,2017-03-05 09:22:29,0,0,838439585449291780,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.9304}",0.04325,0.123722222222
16,16,16,16,White House calls for investigation into unsubstantiated claims Barack Obama ordered ‘wiretap’ on Donald Trump http://viid.me/qn0zDN pic.twitter.com/dHOeN51Wrj,2017-03-05 08:35:03,6,3,838427647625457664,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
17,17,17,17,Washington Post: Donald Trump’s Deportation Push Will Boost Mexicans’ Economy http://NewsUnitedStates.co.vu/1n3 pic.twitter.com/d3gBDy3Cih,2017-03-05 07:42:54,1,0,838414526152245250,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.04325,0.123722222222
18,18,18,18,Obama Administration CONFIRMS Wiretapping on Donald Trump | Watters World https://youtu.be/OSdODs7XWSY  via @YouTube,2017-03-05 07:37:04,0,0,838413055985926146,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
19,19,19,19,"Donald trump is called lots of inception, don't fully understand.",2017-03-05 06:44:36,0,1,838399852677644289,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
20,20,20,20,BREAKING: Investigation Into Obama Wiretapping Donald Trump Just Blown Wide Open! http://NewsUnitedStates.co.vu/1mQ pic.twitter.com/B15yAFlYTi,2017-03-05 06:21:38,0,0,838394073757036547,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.04325,0.123722222222
21,21,21,21,"@ChelseaClinton @KellyannePolls really women attacking a woman,  what craziness has came out of people that wants to talk about Donald Trump",2017-03-05 06:11:29,1,0,838391520759808000,"{'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.7076}",0.04325,0.123722222222
22,22,22,22,SCANDAL OF THE CENTURY! Donald Trump Just Exposed Obama For HORRIBLE Crime! HERE IS THE PROOF!! http://NewsUnitedStates.co.vu/1la pic.twitter.com/s5II40Aasp,2017-03-05 02:16:15,0,2,838332322365636608,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.9304}",0.04325,0.123722222222
23,23,23,23,Weekend Update on Donald Trump's Wiretapping Accusation - SNL https://youtu.be/O4PlNQ9Uhzg  via @YouTube @moveon @theyoungturks @TPM @thenation,2017-03-05 01:13:12,0,0,838316454822952961,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.25}",0.04325,0.123722222222
24,24,24,24,Weekend Update on Donald Trump's Wiretapping Accusation - SNL https://youtu.be/O4PlNQ9Uhzg  via @YouTube @CNN @foxnews @Msnbc @cbsnews,2017-03-05 01:12:48,0,0,838316354021249025,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.25}",0.04325,0.123722222222
25,25,25,25,Weekend Update on Donald Trump's Wiretapping Accusation - SNL https://youtu.be/O4PlNQ9Uhzg  via @YouTube,2017-03-05 01:12:34,0,0,838316293904269312,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.25}",0.04325,0.123722222222
26,26,26,26,Did President Obama Spy On Donald Trump? | True News https://youtu.be/Q_0HAWWeC4E  via @YouTube,2017-03-05 00:37:15,0,0,838307408002887687,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}",0.04325,0.123722222222
27,27,27,27,You idiot Donald Trump there are so many Americans that have DUIs are you deporting them anywhere and taking them away from their kids. ! https://twitter.com/therickydavila/status/838173327567032320 …,2017-03-04 21:12:58,0,0,838255996073992192,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.5562}",0.04325,0.123722222222
