,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,The ultimate case for a special prosecutor and the eventual resignation of Donald Trump http://www.dailykos.com/story/2017/3/2/1639388/-The-ultimate-case-for-a-special-prosecutor-and-the-eventual-resignation-of-Donald-Trump …,2017-03-02 14:49:32,1,0,837434728005300226,"{'neg': 0.13, 'neu': 0.71, 'pos': 0.16, 'compound': 0.128}",0.0809279381375,0.0799946670222
1,1,1,1,"White House throws Jeff Sessions under Russia bus, as Donald Trump skips town again http://www.palmerreport.com/opinion/white-house-jeff-sessions-marine-one-russia-trump/1736/ … via @PalmerReport",2017-03-02 14:39:10,0,0,837432116660994048,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0809279381375,0.0799946670222
2,2,2,2,"HE’S COMING BACK: Obama Returning To DC To Lead The Fight Against Donald Trump, And Conservatives Are TERRIFIED  http://addictinginfo.org/2017/03/02/hes-coming-back-obama-returning-to-dc-to-lead-the-fight-against-donald-trump-and-conservatives-are-terrified-screenshots/ …",2017-03-02 11:27:38,110,51,837383919330742272,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.8091}",0.0809279381375,0.0799946670222
3,3,3,3,"Donald Trump Jr. Was Likely Paid at Least $50,000 for Event Held by Hosts Allied With Russia on Syria http://a.msn.com/01/en-us/AAnIY2U?ocid=st …",2017-03-02 11:18:38,3,3,837381654482055168,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0809279381375,0.0799946670222
4,4,4,4,"The real estate industry is bracing for big changes to the U.S. tax code as Donald Trump, who has made a fortune... http://fb.me/7yOMbWaj6 ",2017-03-02 10:35:18,0,0,837370749409181696,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0809279381375,0.0799946670222
5,5,5,5,What will President Donald Trump's border wall look like? Agency wants ideas: http://azc.cc/2miIsCl pic.twitter.com/2VAts0LDaH,2017-03-02 09:30:20,0,0,837354396858077185,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.3612}",0.0809279381375,0.0799946670222
6,6,6,6,"VIDEO: At the premiere of new mini-series Feud: Bette and Joan, Susan Sarandon discusses reaction to Donald Trump's speech to Congress. pic.twitter.com/Xo5NczasU0",2017-03-02 09:17:11,0,1,837351090542755847,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.34}",0.0809279381375,0.0799946670222
7,7,7,7,Paul Ryan is just as horrible as Donald Trump.,2017-03-02 08:37:35,0,0,837341121470574593,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",0.0809279381375,0.0799946670222
8,8,8,8,The bar is so low for Donald Trump that people praise him when he reads straight from an autocue http://www.independent.co.uk/voices/donald-trump-speech-media-response-was-it-really-presidential-a7606491.html …,2017-03-02 08:29:58,0,0,837339206561087488,"{'neg': 0.109, 'neu': 0.674, 'pos': 0.218, 'compound': 0.4135}",0.0809279381375,0.0799946670222
9,9,9,9,What will President Donald Trump's border wall look like? Agency wants ideas - and bids http://azc.cc/2lCRAyc ,2017-03-02 08:03:34,0,0,837332562095677441,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.0809279381375,0.0799946670222
10,10,10,10,"Donald Trump, Standard Conservative https://www.FreedomsPhoenix.com/News/213677-2017-03-02-donald-trump-standard-conservative.htm?EdNo=001&From=RSS&utm_source=dlvr.it&utm_medium=twitter …",2017-03-02 06:59:08,0,0,837316345561657344,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0809279381375,0.0799946670222
11,11,11,11,What will President Donald Trump's border wall look like? Agency wants ideas http://dlvr.it/NWc56p  #aznews,2017-03-02 05:15:04,0,0,837290159578066944,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.0809279381375,0.0799946670222
12,12,12,12,DONALD TRUMP MUST RELEASE HIS TAX RETURNS! Not guilty? PROVE IT!,2017-03-01 22:32:44,0,0,837188907024293888,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.5242}",0.0809279381375,0.0799946670222
13,13,13,13,"When the lady at the makeup counter ends up making you look like the president. 
#donaldtrump #orangeaf",2017-03-01 18:07:52,0,0,837122251031904256,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",0.0809279381375,0.0799946670222
14,14,14,14,TRUMP TRIUMPHANT - Pres. Donald Trump's Full Speech to the Joint Session of Congress on 2/28/17 http://lgstarr.blogspot.com/2017/03/trump-triumphant-pres-donald-trumps.html …,2017-03-01 17:56:50,0,0,837119474461442048,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.6289}",0.0809279381375,0.0799946670222
