,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,0,0,"Oprah Winfrey says she could run for president, thanks to Donald Trump http://dailym.ai/2mKVCEG  via @MailOnline",2017-03-01 15:58:20,0,0,837089655342366720,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.0900346014637,0.097999132751
1,1,1,1,1,1,Donald Trump\'s first address to Congress as prepared by the White House http://bit.ly/2mfPg3G ,2017-03-01 15:57:18,0,0,837089394897088512,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}",0.0900346014637,0.097999132751
2,2,2,2,2,2,"@Nigel_Farage YOU, Sir, are the HOPE OF BRITAIN just as Donald TRUMP is the HOPE OF AMERICA!    Keep hanging in there for your countrymen!",2017-03-01 15:49:03,0,0,837087318871797760,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.8338}",0.0900346014637,0.097999132751
3,3,3,3,3,3,Why President Donald Trump Changed His Tone http://www.nbcnews.com/politics/white-house/why-president-donald-trump-changed-his-tone-n727676 … via @nbcnews  A POLISHED TURD IS STILL A TURD. @cnn @msnbc @presssec,2017-03-01 15:46:11,0,0,837086597329870848,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
4,4,4,4,4,4,"Yes, analysis of POTUS speech attire- Is Donald Trump Finally Dressing Like a President? https://www.bloomberg.com/news/articles/2017-03-01/is-donald-trump-finally-dressing-like-a-president …",2017-03-01 15:45:47,0,0,837086493617373185,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.6369}",0.0900346014637,0.097999132751
5,5,5,5,5,5,BREAKING: Shep Smith To Be Canned Because He Can't Control His Hate For Donald Trump - American News - Breaking... http://fb.me/5ENrJ9I6p ,2017-03-01 15:44:43,0,0,837086227178352641,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.4585}",0.0900346014637,0.097999132751
6,6,6,6,6,6,"DOWN DOWN DOWN w DONNIE!  Donald Trump never ceases to check the TV ratings. So, read 'em and weep, Donnie.... http://fb.me/8zaSRuxyB ",2017-03-01 15:42:31,0,0,837085671332413440,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.6114}",0.0900346014637,0.097999132751
7,7,7,7,7,7,Donald Trump said all the things nobody would say and what nobody thought you could say and he won the presidency. Awesome!!!,2017-03-01 15:41:15,683,248,837085354125570048,"{'neg': 0.0, 'neu': 0.697, 'pos': 0.303, 'compound': 0.865}",0.0900346014637,0.097999132751
8,8,8,8,8,8,Looks Like Donald Trump Has Finally Been Convinced To FineTune His LookThe Huffington Post once a prig always a prig https://apple.news/A7vdE1P_0RVCZ0GPxEBV65Q …,2017-03-01 15:37:59,0,0,837084532402700288,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.6369}",0.0900346014637,0.097999132751
9,9,9,9,9,9,"Actually, #DonaldTrump & @GovMattBevin, the #ACA is a huge success in Kentucky http://info.familiesusa.org/e/72112/2m9qO3z/4xnm6z/368355295 … via @FamiliesUSA #Fight4OurHealth",2017-03-01 15:30:24,2,0,837082625139437574,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}",0.0900346014637,0.097999132751
10,10,10,10,10,10, fix yo eyebrows Donald trump,2017-03-01 15:20:12,0,0,837080055708672000,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0900346014637,0.097999132751
