,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,I liked a @YouTube video http://youtu.be/z_X2PbFzhkI?a  Donald Trump Is Good?,2017-03-04 13:55:06,0,0,838145806414794752,"{'neg': 0.0, 'neu': 0.498, 'pos': 0.502, 'compound': 0.7236}",0.0790056432602,0.148724908922
1,1,1,1,Donald Trump spelled “tap” with two Ps because he’s got Russian pee-pee on the brain.,2017-03-04 10:25:04,0,0,838092947946033154,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0790056432602,0.148724908922
2,2,2,2,"More Americans support Donald Trump's travel ban than oppose it, poll shows http://www.independent.co.uk/news/world/americas/donald-trump-muslim-ban-travel-immigration-refugees-iran-iraq-syria-a7556186.html …",2017-03-04 08:57:15,0,0,838070846535184384,"{'neg': 0.205, 'neu': 0.626, 'pos': 0.169, 'compound': -0.1585}",0.0790056432602,0.148724908922
3,3,3,3,"There are a few articles on the poll. 

Americans still support Donald Trump's immigration ban, poll shows:
http://www.telegraph.co.uk/news/2017/02/10/americans-still-support-donald-trumps-immigration-ban-poll-shows/ …",2017-03-04 08:56:16,0,0,838070602707648513,"{'neg': 0.169, 'neu': 0.704, 'pos': 0.127, 'compound': -0.2263}",0.0790056432602,0.148724908922
4,4,4,4,Donald Trump ‘Sick Guy’ Barack Obama Wire Tapping’ His Campaign - Breitbart http://www.breitbart.com/big-government/2017/03/04/donald-trump-questions-sick-guy-barack-obama-wire-tapping-campaign/ … via @BreitbartNews @TomiLahren @FoxNews,2017-03-04 08:42:21,0,0,838067098509258753,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}",0.0790056432602,0.148724908922
5,5,5,5,He's totally senile. Insane! Donald Trump Claims Barack Obama Ordered Wire Tap On Trump Tower Before Election http://www.huffingtonpost.com/entry/donald-trump-twitter-barack-obama-tapped_us_58baadf7e4b0b9989417e736 …,2017-03-04 06:47:28,1,0,838038188350394369,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.5057}",0.0790056432602,0.148724908922
6,6,6,6,The only thing Donald Trump should be accusing Barack Obama of tapping is DAT ASS!,2017-03-04 06:23:13,0,0,838032084346277888,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.7371}",0.0790056432602,0.148724908922
7,7,7,7,"It's silly of Donald Trump to accuse Barack Obama of wiretrapping Trump Tower, Obama doesn't speak Russian.",2017-03-04 06:20:14,0,0,838031334874497025,"{'neg': 0.101, 'neu': 0.838, 'pos': 0.061, 'compound': -0.1779}",0.0790056432602,0.148724908922
8,8,8,8,"Donald Trump’s protectionism on trade would be ‘awful’ for the ecomony, BHP war http://bit.ly/2mmOfGQ ",2017-03-04 06:10:34,0,0,838028901767135236,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.7845}",0.0790056432602,0.148724908922
9,9,9,9,Donald Trump is a prop he's Putins prop. https://twitter.com/realmuckmaker/status/837840579228807168 …,2017-03-04 05:04:17,0,0,838012218990018569,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0790056432602,0.148724908922
10,10,10,10,Why Fox News just can't quit Donald Trump https://youtu.be/UYMIgnw2FPU  via @YouTube MUSLUMPS CRYING IN THEIR CAMEL PISSS.,2017-03-04 04:44:40,0,0,838007283829329920,"{'neg': 0.193, 'neu': 0.807, 'pos': 0.0, 'compound': -0.5904}",0.0790056432602,0.148724908922
11,11,11,11,Donald Trump's love life laid bare - including that very messy divorce  http://www.mirror.co.uk/3am/celebrity-news/many-wives-donald-trump-9234874#ICID=sharebar_twitter …,2017-03-03 20:22:13,0,0,837880838847139840,"{'neg': 0.164, 'neu': 0.588, 'pos': 0.247, 'compound': 0.3415}",0.0790056432602,0.148724908922
12,12,12,12,Donald Trump's attempt to shift Russia focus to Chuck Schumer is more than a little desperate http://www.huffingtonpost.com/entry/donald-trump-chuck-schumer-russia_us_58b9b656e4b05cf0f40060d4?ncid=engmodushpmg00000004 … via @HuffPostPol,2017-03-03 18:08:06,0,0,837847087475740672,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.3117}",0.0790056432602,0.148724908922
13,13,13,13,The release of Donald Trump's #TaxReturns is a bipartisan issue. What is he trying to hide? http://thehill.com/homenews/house/322169-two-republicans-sign-onto-effort-demanding-trumps-tax-returns …,2017-03-03 17:00:27,0,0,837830059792732160,"{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.1779}",0.0790056432602,0.148724908922
