,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,At least the sales of tin foil hats have gone up since Donald Trump took office.,2017-03-05 13:12:15,0,0,838497410326360066,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.073,0.0753846153846
1,1,1,1,That rules out Donald Trump and his cult members. https://twitter.com/vabvox/status/838431391356444673 …,2017-03-05 12:39:48,1,0,838489241319538688,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.073,0.0753846153846
2,2,2,2,Trump’s own staff has no idea what Donald Trump is talking about - http://ThinkProgress.org https://apple.news/AsMjP47G2MEmAGqSlg5GWZA …,2017-03-05 08:59:40,0,0,838433844017709056,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",0.073,0.0753846153846
3,3,3,3,"#DonaldTrump@potus
Need to get a grip on your staff",2017-03-05 07:48:03,0,0,838415821932216320,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.073,0.0753846153846
4,4,4,4,"TRUTH 
Donald Trump and the Renaissance of Truth
""truth is needed for change, and evolution requires truth"" 
http://www.seeroses.com/politics-and-the-renaissance-of-truth//politics-the-renaissance-of-truth …",2017-03-05 07:19:57,0,0,838408749274566656,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.8374}",0.073,0.0753846153846
5,5,5,5,#DonaldTrump@potus if Justice Department got warrant. Meaning probable cause you idiot,2017-03-05 04:51:47,1,0,838371463325495296,"{'neg': 0.21, 'neu': 0.573, 'pos': 0.217, 'compound': 0.0258}",0.073,0.0753846153846
6,6,6,6,#DonaldTrump@potushiw ignorant do you have to be to know you just gave more reason to suspect you? Only way to tap your line is,2017-03-05 04:51:02,0,0,838371274787274753,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.552}",0.073,0.0753846153846
7,7,7,7,I believe God placed Donald Trump in the WH in answer to the fervent prayers of a nation. Drain the Swamp President Trump. https://twitter.com/allenwest/status/838075797562806272 …,2017-03-05 04:49:43,0,0,838370942246129664,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.4939}",0.073,0.0753846153846
8,8,8,8,Donald Trump gets his advice from advisors known for their diplomacy: https://twitter.com/evan_rosenfeld/status/838247581486473219 …,2017-03-05 04:28:40,0,0,838365644844314625,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.073,0.0753846153846
9,9,9,9,Beau Willimon On Donald Trump: “POTUS Must Be Removed From Twitter” - Deadline Hollywood https://apple.news/ArTsO5-hgMzOsLLw7li7nVA …,2017-03-05 01:26:34,1,1,838319816532447233,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.073,0.0753846153846
10,10,10,10,"Tell me its not fucked that three 24 year old men told me ""Donald Trump is president, go back to your country"".....",2017-03-04 23:37:25,38,4,838292348589191168,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.5448}",0.073,0.0753846153846
11,11,11,11,Women should be more scared of Donald Trump walking into the lady’s restroom than a transgendered female.,2017-03-04 19:27:12,3,1,838229381231357953,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4927}",0.073,0.0753846153846
12,12,12,12,The only way Donald Trump could be a worse President than George W. Bush is if Trump choked on a pretzel.,2017-03-04 17:01:41,0,0,838192762025463808,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.7351}",0.073,0.0753846153846
